#T_gam (MeV)   rate_m/rate_0
7.7624712E+00  9.9973285E-01
7.9432823E+00  9.9976317E-01
8.1283052E+00  9.9979028E-01
8.3176377E+00  9.9981783E-01
8.5113804E+00  9.9984701E-01
8.7096359E+00  9.9986749E-01
8.9125094E+00  9.9989175E-01
9.1201084E+00  9.9991946E-01
9.3325430E+00  9.9996516E-01
9.5499259E+00  9.9996053E-01
9.7723722E+00  9.9998048E-01
1.0000000E+01  1.0000000E+00
2.0000000E+10  1.0000000E+00
