# entropy density for QED , [dp^{(n)}/dT] = MeV^3 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   dp^{(0)}/dT,   dp^{(2)non-log}/dT,   dp^{(2)log}/dT,   dp^{(3)}/dT,   dp^{(4)}/dT,   dp^{(5)}/dT
 5.494858937994e-03   +1.455515606699e-07   -1.2325e-47   +1.6690e-85   +1.6036e-65   -1.9511e-12   -2.5840e-13
 5.499799989955e-03   +1.459445596826e-07   -1.3417e-47   +1.9726e-85   +1.8174e-65   -1.9564e-12   -2.5910e-13
 5.504745484977e-03   +1.463386198191e-07   -1.4606e-47   +2.3310e-85   +2.0594e-65   -1.9617e-12   -2.5980e-13
 5.509695427055e-03   +1.467337439445e-07   -1.5898e-47   +2.7541e-85   +2.3334e-65   -1.9670e-12   -2.6050e-13
 5.514649820189e-03   +1.471299349316e-07   -1.7303e-47   +3.2536e-85   +2.6435e-65   -1.9723e-12   -2.6120e-13
 5.519608668380e-03   +1.475271956611e-07   -1.8831e-47   +3.8430e-85   +2.9946e-65   -1.9776e-12   -2.6191e-13
 5.524571975635e-03   +1.479255290213e-07   -2.0493e-47   +4.5385e-85   +3.3918e-65   -1.9830e-12   -2.6261e-13
 5.529539745964e-03   +1.483249379084e-07   -2.2300e-47   +5.3592e-85   +3.8414e-65   -1.9883e-12   -2.6332e-13
 5.534511983379e-03   +1.487254252264e-07   -2.4264e-47   +6.3272e-85   +4.3500e-65   -1.9937e-12   -2.6403e-13
 5.539488691898e-03   +1.491269938871e-07   -2.6399e-47   +7.4691e-85   +4.9255e-65   -1.9991e-12   -2.6475e-13
 5.544469875541e-03   +1.495296468102e-07   -2.8719e-47   +8.8156e-85   +5.5764e-65   -2.0045e-12   -2.6546e-13
 5.549455538332e-03   +1.499333869233e-07   -3.1242e-47   +1.0403e-84   +6.3127e-65   -2.0099e-12   -2.6618e-13
 5.554445684299e-03   +1.503382171619e-07   -3.3983e-47   +1.2275e-84   +7.1454e-65   -2.0153e-12   -2.6690e-13
 5.559440317473e-03   +1.507441404694e-07   -3.6962e-47   +1.4482e-84   +8.0870e-65   -2.0207e-12   -2.6762e-13
 5.564439441890e-03   +1.511511597972e-07   -4.0200e-47   +1.7083e-84   +9.1517e-65   -2.0262e-12   -2.6834e-13
 5.569443061587e-03   +1.515592781045e-07   -4.3718e-47   +2.0148e-84   +1.0355e-64   -2.0317e-12   -2.6906e-13
 5.574451180606e-03   +1.519684983588e-07   -4.7540e-47   +2.3759e-84   +1.1716e-64   -2.0372e-12   -2.6979e-13
 5.579463802995e-03   +1.523788235352e-07   -5.1692e-47   +2.8013e-84   +1.3254e-64   -2.0427e-12   -2.7052e-13
 5.584480932802e-03   +1.527902566173e-07   -5.6203e-47   +3.3024e-84   +1.4993e-64   -2.0482e-12   -2.7125e-13
 5.589502574081e-03   +1.532028005964e-07   -6.1103e-47   +3.8926e-84   +1.6957e-64   -2.0537e-12   -2.7198e-13
