# second T derivative of pressure for QED , [d2p^{(n)}/dT2] = MeV^2 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   d2p^{(0)}/dT2,   d2p^{(2)non-log}/dT2,   d2p^{(2)log}/dT2,   d2p^{(3)}/dT2,   d2p^{(4)}/dT2,   d2p^{(5)}/dT2
 5.634901032374e-03   +1.569661843740e-07   -2.1151e-42   +5.4666e-79   +1.2317e-59   -1.1202e-09   -1.4836e-10
 5.639968012093e-03   +1.573900036392e-07   -2.2937e-42   +6.4226e-79   +1.3891e-59   -1.1223e-09   -1.4863e-10
 5.645039548108e-03   +1.578149672449e-07   -2.4872e-42   +7.5445e-79   +1.5664e-59   -1.1243e-09   -1.4889e-10
 5.650115644518e-03   +1.582410782810e-07   -2.6969e-42   +8.8612e-79   +1.7661e-59   -1.1263e-09   -1.4916e-10
 5.655196305423e-03   +1.586683398456e-07   -2.9240e-42   +1.0406e-78   +1.9910e-59   -1.1283e-09   -1.4943e-10
 5.660281534927e-03   +1.590967550451e-07   -3.1700e-42   +1.2219e-78   +2.2444e-59   -1.1304e-09   -1.4970e-10
 5.665371337139e-03   +1.595263269945e-07   -3.4365e-42   +1.4345e-78   +2.5298e-59   -1.1324e-09   -1.4997e-10
 5.670465716170e-03   +1.599570588172e-07   -3.7250e-42   +1.6838e-78   +2.8511e-59   -1.1344e-09   -1.5024e-10
 5.675564676136e-03   +1.603889536447e-07   -4.0376e-42   +1.9763e-78   +3.2128e-59   -1.1365e-09   -1.5051e-10
 5.680668221156e-03   +1.608220146173e-07   -4.3760e-42   +2.3191e-78   +3.6201e-59   -1.1385e-09   -1.5078e-10
 5.685776355354e-03   +1.612562448838e-07   -4.7424e-42   +2.7211e-78   +4.0785e-59   -1.1406e-09   -1.5105e-10
 5.690889082855e-03   +1.616916476011e-07   -5.1392e-42   +3.1923e-78   +4.5945e-59   -1.1426e-09   -1.5132e-10
 5.696006407791e-03   +1.621282259352e-07   -5.5688e-42   +3.7445e-78   +5.1752e-59   -1.1447e-09   -1.5159e-10
 5.701128334295e-03   +1.625659830601e-07   -6.0338e-42   +4.3916e-78   +5.8287e-59   -1.1467e-09   -1.5187e-10
 5.706254866505e-03   +1.630049221587e-07   -6.5372e-42   +5.1497e-78   +6.5640e-59   -1.1488e-09   -1.5214e-10
 5.711386008562e-03   +1.634450464225e-07   -7.0820e-42   +6.0380e-78   +7.3913e-59   -1.1509e-09   -1.5241e-10
 5.716521764612e-03   +1.638863590513e-07   -7.6717e-42   +7.0783e-78   +8.3219e-59   -1.1529e-09   -1.5269e-10
 5.721662138804e-03   +1.643288632540e-07   -8.3100e-42   +8.2967e-78   +9.3686e-59   -1.1550e-09   -1.5296e-10
 5.726807135291e-03   +1.647725622479e-07   -9.0006e-42   +9.7235e-78   +1.0546e-58   -1.1571e-09   -1.5324e-10
 5.731956758228e-03   +1.652174592589e-07   -9.7480e-42   +1.1394e-77   +1.1870e-58   -1.1592e-09   -1.5351e-10
 5.737111011776e-03   +1.656635575217e-07   -1.0557e-41   +1.3350e-77   +1.3358e-58   -1.1613e-09   -1.5379e-10
 5.742269900099e-03   +1.661108602799e-07   -1.1432e-41   +1.5638e-77   +1.5032e-58   -1.1633e-09   -1.5407e-10
 5.747433427365e-03   +1.665593707857e-07   -1.2378e-41   +1.8317e-77   +1.6914e-58   -1.1654e-09   -1.5434e-10
 5.752601597745e-03   +1.670090923000e-07   -1.3402e-41   +2.1451e-77   +1.9029e-58   -1.1675e-09   -1.5462e-10
 5.757774415414e-03   +1.674600280927e-07   -1.4510e-41   +2.5119e-77   +2.1406e-58   -1.1696e-09   -1.5490e-10
 5.762951884551e-03   +1.679121814424e-07   -1.5708e-41   +2.9409e-77   +2.4078e-58   -1.1717e-09   -1.5518e-10
 5.768134009339e-03   +1.683655556366e-07   -1.7004e-41   +3.4426e-77   +2.7081e-58   -1.1738e-09   -1.5546e-10
 5.773320793964e-03   +1.688201539717e-07   -1.8405e-41   +4.0294e-77   +3.0454e-58   -1.1760e-09   -1.5574e-10
 5.778512242617e-03   +1.692759797528e-07   -1.9920e-41   +4.7156e-77   +3.4244e-58   -1.1781e-09   -1.5602e-10
 5.783708359490e-03   +1.697330362942e-07   -2.1559e-41   +5.5178e-77   +3.8502e-58   -1.1802e-09   -1.5630e-10
 5.788909148783e-03   +1.701913269191e-07   -2.3331e-41   +6.4555e-77   +4.3284e-58   -1.1823e-09   -1.5658e-10
 5.794114614696e-03   +1.706508549595e-07   -2.5247e-41   +7.5516e-77   +4.8655e-58   -1.1844e-09   -1.5686e-10
 5.799324761435e-03   +1.711116237565e-07   -2.7317e-41   +8.8325e-77   +5.4687e-58   -1.1866e-09   -1.5714e-10
 5.804539593209e-03   +1.715736366604e-07   -2.9556e-41   +1.0329e-76   +6.1460e-58   -1.1887e-09   -1.5743e-10
 5.809759114231e-03   +1.720368970301e-07   -3.1976e-41   +1.2078e-76   +6.9064e-58   -1.1909e-09   -1.5771e-10
 5.814983328717e-03   +1.725014082341e-07   -3.4592e-41   +1.4120e-76   +7.7601e-58   -1.1930e-09   -1.5799e-10
 5.820212240888e-03   +1.729671736496e-07   -3.7418e-41   +1.6506e-76   +8.7184e-58   -1.1951e-09   -1.5828e-10
 5.825445854967e-03   +1.734341966630e-07   -4.0473e-41   +1.9292e-76   +9.7940e-58   -1.1973e-09   -1.5856e-10
 5.830684175184e-03   +1.739024806701e-07   -4.3775e-41   +2.2545e-76   +1.1001e-57   -1.1994e-09   -1.5885e-10
 5.835927205770e-03   +1.743720290754e-07   -4.7342e-41   +2.6343e-76   +1.2356e-57   -1.2016e-09   -1.5913e-10
 5.841174950960e-03   +1.748428452931e-07   -5.1196e-41   +3.0776e-76   +1.3876e-57   -1.2038e-09   -1.5942e-10
 5.846427414994e-03   +1.753149327463e-07   -5.5361e-41   +3.5950e-76   +1.5581e-57   -1.2059e-09   -1.5971e-10
 5.851684602115e-03   +1.757882948674e-07   -5.9859e-41   +4.1988e-76   +1.7494e-57   -1.2081e-09   -1.5999e-10
 5.856946516571e-03   +1.762629350980e-07   -6.4719e-41   +4.9033e-76   +1.9640e-57   -1.2103e-09   -1.6028e-10
 5.862213162611e-03   +1.767388568893e-07   -6.9968e-41   +5.7253e-76   +2.2046e-57   -1.2125e-09   -1.6057e-10
 5.867484544492e-03   +1.772160637014e-07   -7.5638e-41   +6.6841e-76   +2.4745e-57   -1.2146e-09   -1.6086e-10
 5.872760666470e-03   +1.776945590040e-07   -8.1762e-41   +7.8023e-76   +2.7771e-57   -1.2168e-09   -1.6115e-10
 5.878041532810e-03   +1.781743462762e-07   -8.8375e-41   +9.1064e-76   +3.1165e-57   -1.2190e-09   -1.6144e-10
 5.883327147776e-03   +1.786554290063e-07   -9.5516e-41   +1.0627e-75   +3.4969e-57   -1.2212e-09   -1.6173e-10
 5.888617515639e-03   +1.791378106922e-07   -1.0323e-40   +1.2399e-75   +3.9233e-57   -1.2234e-09   -1.6202e-10
 5.893912640674e-03   +1.796214948411e-07   -1.1155e-40   +1.4466e-75   +4.4013e-57   -1.2256e-09   -1.6231e-10
 5.899212527156e-03   +1.801064849697e-07   -1.2054e-40   +1.6874e-75   +4.9369e-57   -1.2278e-09   -1.6260e-10
 5.904517179369e-03   +1.805927846044e-07   -1.3024e-40   +1.9681e-75   +5.5372e-57   -1.2300e-09   -1.6290e-10
 5.909826601597e-03   +1.810803972808e-07   -1.4072e-40   +2.2951e-75   +6.2099e-57   -1.2322e-09   -1.6319e-10
 5.915140798130e-03   +1.815693265443e-07   -1.5203e-40   +2.6760e-75   +6.9635e-57   -1.2344e-09   -1.6348e-10
 5.920459773261e-03   +1.820595759497e-07   -1.6423e-40   +3.1198e-75   +7.8077e-57   -1.2367e-09   -1.6378e-10
 5.925783531286e-03   +1.825511490614e-07   -1.7740e-40   +3.6367e-75   +8.7534e-57   -1.2389e-09   -1.6407e-10
 5.931112076507e-03   +1.830440494537e-07   -1.9162e-40   +4.2385e-75   +9.8126e-57   -1.2411e-09   -1.6437e-10
 5.936445413229e-03   +1.835382807103e-07   -2.0696e-40   +4.9394e-75   +1.0999e-56   -1.2434e-09   -1.6466e-10
 5.941783545760e-03   +1.840338464244e-07   -2.2351e-40   +5.7553e-75   +1.2327e-56   -1.2456e-09   -1.6496e-10
 5.947126478412e-03   +1.845307501994e-07   -2.4137e-40   +6.7050e-75   +1.3815e-56   -1.2478e-09   -1.6526e-10
 5.952474215502e-03   +1.850289956481e-07   -2.6064e-40   +7.8104e-75   +1.5480e-56   -1.2501e-09   -1.6555e-10
 5.957826761350e-03   +1.855285863929e-07   -2.8142e-40   +9.0967e-75   +1.7344e-56   -1.2523e-09   -1.6585e-10
 5.963184120280e-03   +1.860295260665e-07   -3.0385e-40   +1.0593e-74   +1.9430e-56   -1.2546e-09   -1.6615e-10
 5.968546296620e-03   +1.865318183108e-07   -3.2803e-40   +1.2335e-74   +2.1766e-56   -1.2568e-09   -1.6645e-10
