# Standard Model Evoultion for 1 keV < T < 10 MeV as calculated in Escudero 2001.04466, JCAP 05 (2020) 048
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.044
# O_nu/mnu (eV) = 93.07
# s0 (cm^-3)    = 2906.92
# g_s0          = 3.930
# g_*0          = 3.383
# Definitions: a is the dimensionless scale factor, z_gam = a T_gam/m_e , z_nu = a T_nu/m_e, N is defined in Eq A.17 in 2001.04466
# t (s)        T_gam (MeV)    T_gam/T_nue    T_gam/T_numu   g*             gs             a              z_gam          z_nue          z_numu         N              
1.6922965E-02  6.6069345E+00  1.0000027E+00  1.0000040E+00  1.0735227E+01  1.0734509E+01  7.7347945E-02  1.0000642E+00  1.0000615E+00  1.0000602E+00  8.8989861E-04  
1.7237623E-02  6.5463617E+00  1.0000028E+00  1.0000042E+00  1.0735196E+01  1.0734465E+01  7.8063743E-02  1.0000656E+00  1.0000628E+00  1.0000614E+00  9.0495161E-04  
1.7558131E-02  6.4863443E+00  1.0000029E+00  1.0000043E+00  1.0735164E+01  1.0734421E+01  7.8786167E-02  1.0000669E+00  1.0000640E+00  1.0000626E+00  9.2022262E-04  
1.7884600E-02  6.4268772E+00  1.0000030E+00  1.0000045E+00  1.0735132E+01  1.0734375E+01  7.9515278E-02  1.0000683E+00  1.0000653E+00  1.0000638E+00  9.3571273E-04  
1.8217140E-02  6.3679552E+00  1.0000032E+00  1.0000047E+00  1.0735099E+01  1.0734329E+01  8.0251140E-02  1.0000698E+00  1.0000666E+00  1.0000650E+00  9.5141382E-04  
1.8555864E-02  6.3095734E+00  1.0000033E+00  1.0000050E+00  1.0735066E+01  1.0734281E+01  8.0993813E-02  1.0000713E+00  1.0000679E+00  1.0000663E+00  9.6734135E-04  
1.8900887E-02  6.2517269E+00  1.0000035E+00  1.0000052E+00  1.0735031E+01  1.0734233E+01  8.1743362E-02  1.0000728E+00  1.0000693E+00  1.0000676E+00  9.8349104E-04  
1.9252326E-02  6.1944108E+00  1.0000036E+00  1.0000054E+00  1.0734996E+01  1.0734184E+01  8.2499851E-02  1.0000743E+00  1.0000707E+00  1.0000689E+00  9.9986776E-04  
1.9610300E-02  6.1376201E+00  1.0000038E+00  1.0000057E+00  1.0734960E+01  1.0734134E+01  8.3263342E-02  1.0000758E+00  1.0000721E+00  1.0000702E+00  1.0164673E-03  
1.9974932E-02  6.0813500E+00  1.0000040E+00  1.0000059E+00  1.0734924E+01  1.0734082E+01  8.4033902E-02  1.0000774E+00  1.0000735E+00  1.0000715E+00  1.0332935E-03  
2.0346344E-02  6.0255959E+00  1.0000041E+00  1.0000062E+00  1.0734886E+01  1.0734030E+01  8.4811596E-02  1.0000791E+00  1.0000749E+00  1.0000729E+00  1.0503450E-03  
2.0724664E-02  5.9703529E+00  1.0000043E+00  1.0000064E+00  1.0734848E+01  1.0733977E+01  8.5596490E-02  1.0000807E+00  1.0000764E+00  1.0000743E+00  1.0676207E-03  
2.1110020E-02  5.9156163E+00  1.0000045E+00  1.0000067E+00  1.0734809E+01  1.0733922E+01  8.6388651E-02  1.0000824E+00  1.0000779E+00  1.0000757E+00  1.0851284E-03  
2.1502541E-02  5.8613816E+00  1.0000047E+00  1.0000070E+00  1.0734769E+01  1.0733866E+01  8.7188146E-02  1.0000841E+00  1.0000794E+00  1.0000771E+00  1.1028657E-03  
2.1902363E-02  5.8076442E+00  1.0000049E+00  1.0000073E+00  1.0734728E+01  1.0733810E+01  8.7995043E-02  1.0000859E+00  1.0000810E+00  1.0000786E+00  1.1208328E-03  
