# Standard Model Evoultion for 1 keV < T < 10 MeV as calculated in 2001.04466 
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.04483     
# O_nu/mnu (eV) = 93.06       
# s0 (cm^-3)    = 2907.1      
# g_s0          = 3.9304      
# g_*0          = 3.383       
#t (s)         T_gam (MeV)    T_gam/T_nu     g*             gs             a              z_gam          z_nu           N(a)
1.4112808E+02  9.2896639E-02  1.3237825E+00  4.1136739E+00  4.6078044E+00  1.4271224E+01  1.3257488E+00  1.0014853E+00  6.8002448E-06  
1.4415886E+02  9.2044957E-02  1.3259446E+00  4.0894398E+00  4.5853001E+00  1.4426800E+01  1.3279141E+00  1.0014854E+00  6.2754461E-06  
1.4724740E+02  9.1201084E-02  1.3280747E+00  4.0657207E+00  4.5632718E+00  1.4583680E+01  1.3300475E+00  1.0014854E+00  5.7851172E-06  
1.5039454E+02  9.0364947E-02  1.3301721E+00  4.0425162E+00  4.5417193E+00  1.4741867E+01  1.3321480E+00  1.0014854E+00  5.3274733E-06  
1.5360109E+02  8.9536477E-02  1.3322362E+00  4.0198253E+00  4.5206421E+00  1.4901359E+01  1.3342152E+00  1.0014855E+00  4.9008013E-06  
1.5686789E+02  8.8715601E-02  1.3342662E+00  3.9976468E+00  4.5000393E+00  1.5062156E+01  1.3362483E+00  1.0014855E+00  4.5034245E-06  
1.6019579E+02  8.7902252E-02  1.3362616E+00  3.9759791E+00  4.4799098E+00  1.5224259E+01  1.3382467E+00  1.0014855E+00  4.1337523E-06  
1.6358564E+02  8.7096359E-02  1.3382218E+00  3.9548203E+00  4.4602520E+00  1.5387668E+01  1.3402098E+00  1.0014855E+00  3.7902306E-06  
1.6703831E+02  8.6297855E-02  1.3401463E+00  3.9341682E+00  4.4410640E+00  1.5552382E+01  1.3421372E+00  1.0014855E+00  3.4713589E-06  
1.7055468E+02  8.5506671E-02  1.3420347E+00  3.9140201E+00  4.4223438E+00  1.5718403E+01  1.3440283E+00  1.0014856E+00  3.1757199E-06  
1.7413565E+02  8.4722741E-02  1.3438863E+00  3.8943731E+00  4.4040889E+00  1.5885732E+01  1.3458828E+00  1.0014856E+00  2.9019298E-06  
1.7778214E+02  8.3945999E-02  1.3457010E+00  3.8752241E+00  4.3862964E+00  1.6054370E+01  1.3477001E+00  1.0014856E+00  2.6486880E-06  
1.8149506E+02  8.3176377E-02  1.3474782E+00  3.8565696E+00  4.3689633E+00  1.6224319E+01  1.3494800E+00  1.0014856E+00  2.4147291E-06  
1.8527536E+02  8.2413812E-02  1.3492177E+00  3.8384056E+00  4.3520863E+00  1.6395579E+01  1.3512222E+00  1.0014856E+00  2.1988329E-06  
1.8912399E+02  8.1658237E-02  1.3509193E+00  3.8207282E+00  4.3356617E+00  1.6568154E+01  1.3529263E+00  1.0014856E+00  1.9998651E-06  
1.9304194E+02  8.0909590E-02  1.3525827E+00  3.8035329E+00  4.3196856E+00  1.6742047E+01  1.3545921E+00  1.0014856E+00  1.8167051E-06  
1.9703020E+02  8.0167806E-02  1.3542077E+00  3.7868150E+00  4.3041537E+00  1.6917259E+01  1.3562196E+00  1.0014856E+00  1.6483173E-06  
2.0108978E+02  7.9432823E-02  1.3557942E+00  3.7705696E+00  4.2890617E+00  1.7093795E+01  1.3578084E+00  1.0014857E+00  1.4937062E-06  
2.0522173E+02  7.8704579E-02  1.3573421E+00  3.7547916E+00  4.2744048E+00  1.7271659E+01  1.3593586E+00  1.0014857E+00  1.3519117E-06  
2.0942711E+02  7.7983011E-02  1.3588513E+00  3.7394755E+00  4.2601781E+00  1.7450854E+01  1.3608701E+00  1.0014857E+00  1.2220519E-06  
2.1370699E+02  7.7268059E-02  1.3603219E+00  3.7246155E+00  4.2463762E+00  1.7631386E+01  1.3623429E+00  1.0014857E+00  1.1032688E-06  
2.1806248E+02  7.6559661E-02  1.3617539E+00  3.7102059E+00  4.2329940E+00  1.7813259E+01  1.3637771E+00  1.0014857E+00  9.9477091E-07  
2.2249472E+02  7.5857758E-02  1.3631474E+00  3.6962404E+00  4.2200256E+00  1.7996480E+01  1.3651726E+00  1.0014857E+00  8.9580025E-07  
2.2700487E+02  7.5162289E-02  1.3645025E+00  3.6827127E+00  4.2074652E+00  1.8181055E+01  1.3665297E+00  1.0014857E+00  8.0563600E-07  
2.3159410E+02  7.4473197E-02  1.3658194E+00  3.6696163E+00  4.1953069E+00  1.8366991E+01  1.3678486E+00  1.0014857E+00  7.2361373E-07  
2.3626365E+02  7.3790423E-02  1.3670982E+00  3.6569445E+00  4.1835443E+00  1.8554296E+01  1.3691293E+00  1.0014857E+00  6.4909374E-07  
2.4101475E+02  7.3113908E-02  1.3683393E+00  3.6446904E+00  4.1721711E+00  1.8742977E+01  1.3703723E+00  1.0014857E+00  5.8148880E-07  
2.4584868E+02  7.2443596E-02  1.3695429E+00  3.6328468E+00  4.1611807E+00  1.8933042E+01  1.3715777E+00  1.0014857E+00  5.2024468E-07  
2.5076674E+02  7.1779429E-02  1.3707094E+00  3.6214066E+00  4.1505665E+00  1.9124502E+01  1.3727459E+00  1.0014857E+00  4.6483625E-07  
2.5577029E+02  7.1121351E-02  1.3718390E+00  3.6103624E+00  4.1403214E+00  1.9317366E+01  1.3738772E+00  1.0014857E+00  4.1478535E-07  
2.6086068E+02  7.0469307E-02  1.3729323E+00  3.5997067E+00  4.1304385E+00  1.9511645E+01  1.3749721E+00  1.0014857E+00  3.6963464E-07  
2.6603934E+02  6.9823240E-02  1.3739896E+00  3.5894319E+00  4.1209108E+00  1.9707349E+01  1.3760309E+00  1.0014857E+00  3.2896921E-07  
2.7130771E+02  6.9183097E-02  1.3750113E+00  3.5795303E+00  4.1117310E+00  1.9904489E+01  1.3770542E+00  1.0014857E+00  2.9239883E-07  
2.7666728E+02  6.8548823E-02  1.3759981E+00  3.5699940E+00  4.1028917E+00  2.0103079E+01  1.3780424E+00  1.0014857E+00  2.5955651E-07  
2.8211956E+02  6.7920363E-02  1.3769503E+00  3.5608151E+00  4.0943856E+00  2.0303131E+01  1.3789961E+00  1.0014857E+00  2.3010930E-07  
2.8766612E+02  6.7297666E-02  1.3778685E+00  3.5519856E+00  4.0862052E+00  2.0504659E+01  1.3799157E+00  1.0014857E+00  2.0374427E-07  
2.9330856E+02  6.6680677E-02  1.3787534E+00  3.5434975E+00  4.0783429E+00  2.0707676E+01  1.3808018E+00  1.0014857E+00  1.8017670E-07  
2.9904853E+02  6.6069345E-02  1.3796054E+00  3.5353427E+00  4.0707912E+00  2.0912197E+01  1.3816552E+00  1.0014857E+00  1.5914292E-07  
3.0488771E+02  6.5463617E-02  1.3804253E+00  3.5275130E+00  4.0635423E+00  2.1118238E+01  1.3824762E+00  1.0014857E+00  1.4039908E-07  
3.1082782E+02  6.4863443E-02  1.3812136E+00  3.5200002E+00  4.0565888E+00  2.1325814E+01  1.3832657E+00  1.0014857E+00  1.2372243E-07  
3.1687065E+02  6.4268772E-02  1.3819710E+00  3.5127962E+00  4.0499227E+00  2.1534941E+01  1.3840242E+00  1.0014857E+00  1.0890902E-07  
3.2301801E+02  6.3679552E-02  1.3826981E+00  3.5058928E+00  4.0435366E+00  2.1745638E+01  1.3847525E+00  1.0014857E+00  9.5772207E-08  
3.2927176E+02  6.3095734E-02  1.3833958E+00  3.4992818E+00  4.0374226E+00  2.1957920E+01  1.3854511E+00  1.0014857E+00  8.4141101E-08  
3.3563381E+02  6.2517269E-02  1.3840645E+00  3.4929549E+00  4.0315730E+00  2.2171807E+01  1.3861208E+00  1.0014857E+00  7.3859306E-08  
3.4210614E+02  6.1944108E-02  1.3847051E+00  3.4869040E+00  4.0259803E+00  2.2387317E+01  1.3867624E+00  1.0014857E+00  6.4784228E-08  
3.4869073E+02  6.1376201E-02  1.3853183E+00  3.4811210E+00  4.0206368E+00  2.2604470E+01  1.3873765E+00  1.0014857E+00  5.6788197E-08  
3.5538965E+02  6.0813500E-02  1.3859047E+00  3.4755979E+00  4.0155349E+00  2.2823284E+01  1.3879638E+00  1.0014857E+00  4.9752478E-08  
3.6220500E+02  6.0255959E-02  1.3864652E+00  3.4703265E+00  4.0106671E+00  2.3043781E+01  1.3885251E+00  1.0014857E+00  4.3572744E-08  
3.6913894E+02  5.9703529E-02  1.3870004E+00  3.4652989E+00  4.0060259E+00  2.3265980E+01  1.3890611E+00  1.0014857E+00  3.8154115E-08  
3.7619368E+02  5.9156163E-02  1.3875111E+00  3.4605072E+00  4.0016038E+00  2.3489904E+01  1.3895726E+00  1.0014857E+00  3.3408836E-08  
3.8337148E+02  5.8613816E-02  1.3879981E+00  3.4559435E+00  3.9973936E+00  2.3715574E+01  1.3900603E+00  1.0014857E+00  2.9260705E-08  
3.9067465E+02  5.8076442E-02  1.3884620E+00  3.4516002E+00  3.9933879E+00  2.3943011E+01  1.3905249E+00  1.0014857E+00  2.5638214E-08  
3.9810557E+02  5.7543994E-02  1.3889037E+00  3.4474696E+00  3.9895797E+00  2.4172240E+01  1.3909672E+00  1.0014857E+00  2.2479519E-08  
4.0566664E+02  5.7016427E-02  1.3893237E+00  3.4435442E+00  3.9859618E+00  2.4403281E+01  1.3913879E+00  1.0014857E+00  1.9729260E-08  
4.1336036E+02  5.6493697E-02  1.3897230E+00  3.4398165E+00  3.9825274E+00  2.4636160E+01  1.3917878E+00  1.0014857E+00  1.7335823E-08  
4.2118924E+02  5.5975760E-02  1.3901022E+00  3.4362791E+00  3.9792694E+00  2.4870899E+01  1.3921675E+00  1.0014857E+00  1.5256542E-08  
4.2915589E+02  5.5462571E-02  1.3904620E+00  3.4329250E+00  3.9761813E+00  2.5107524E+01  1.3925278E+00  1.0014857E+00  1.3450001E-08  
4.3726294E+02  5.4954087E-02  1.3908031E+00  3.4297471E+00  3.9732563E+00  2.5346057E+01  1.3928694E+00  1.0014857E+00  1.1881443E-08  
4.4551310E+02  5.4450265E-02  1.3911262E+00  3.4267383E+00  3.9704881E+00  2.5586525E+01  1.3931931E+00  1.0014857E+00  1.0519623E-08  
4.5390913E+02  5.3951062E-02  1.3914321E+00  3.4238919E+00  3.9678702E+00  2.5828952E+01  1.3934994E+00  1.0014857E+00  9.3359862E-09  
4.6245385E+02  5.3456436E-02  1.3917214E+00  3.4212013E+00  3.9653965E+00  2.6073364E+01  1.3937891E+00  1.0014857E+00  8.3065950E-09  
4.7115014E+02  5.2966344E-02  1.3919947E+00  3.4186600E+00  3.9630607E+00  2.6319786E+01  1.3940629E+00  1.0014857E+00  7.4090309E-09  
4.8000095E+02  5.2480746E-02  1.3922528E+00  3.4162615E+00  3.9608572E+00  2.6568246E+01  1.3943214E+00  1.0014857E+00  6.6235187E-09  
4.8900926E+02  5.1999600E-02  1.3924963E+00  3.4139997E+00  3.9587799E+00  2.6818768E+01  1.3945652E+00  1.0014857E+00  5.9325610E-09  
4.9817816E+02  5.1522864E-02  1.3927258E+00  3.4118685E+00  3.9568233E+00  2.7071379E+01  1.3947950E+00  1.0014857E+00  5.3209880E-09  
5.0751075E+02  5.1050500E-02  1.3929419E+00  3.4098621E+00  3.9549819E+00  2.7326107E+01  1.3950114E+00  1.0014857E+00  4.7753320E-09  
5.1701024E+02  5.0582466E-02  1.3931453E+00  3.4079746E+00  3.9532503E+00  2.7582979E+01  1.3952151E+00  1.0014857E+00  4.2825549E-09  
5.2667986E+02  5.0118723E-02  1.3933364E+00  3.4062006E+00  3.9516234E+00  2.7842021E+01  1.3954065E+00  1.0014857E+00  3.8361133E-09  
5.3652294E+02  4.9659232E-02  1.3935160E+00  3.4045347E+00  3.9500961E+00  2.8103261E+01  1.3955864E+00  1.0014857E+00  3.4316455E-09  
5.4654286E+02  4.9203954E-02  1.3936845E+00  3.4029715E+00  3.9486636E+00  2.8366727E+01  1.3957551E+00  1.0014857E+00  3.0652432E-09  
5.5674307E+02  4.8752849E-02  1.3938424E+00  3.4015060E+00  3.9473212E+00  2.8632446E+01  1.3959133E+00  1.0014857E+00  2.7334825E-09  
5.6712707E+02  4.8305880E-02  1.3939904E+00  3.4001334E+00  3.9460642E+00  2.8900447E+01  1.3960615E+00  1.0014857E+00  2.4328600E-09  
5.7769845E+02  4.7863009E-02  1.3941289E+00  3.3988488E+00  3.9448882E+00  2.9170757E+01  1.3962002E+00  1.0014857E+00  2.1614547E-09  
5.8846086E+02  4.7424199E-02  1.3942584E+00  3.3976477E+00  3.9437891E+00  2.9443406E+01  1.3963299E+00  1.0014857E+00  1.9162809E-09  
5.9941802E+02  4.6989411E-02  1.3943794E+00  3.3965256E+00  3.9427628E+00  2.9718420E+01  1.3964511E+00  1.0014857E+00  1.6956544E-09  
6.1057371E+02  4.6558609E-02  1.3944923E+00  3.3954784E+00  3.9418052E+00  2.9995830E+01  1.3965641E+00  1.0014857E+00  1.4971646E-09  
6.2193180E+02  4.6131757E-02  1.3945976E+00  3.3945018E+00  3.9409126E+00  3.0275664E+01  1.3966696E+00  1.0014857E+00  1.3192168E-09  
6.3349621E+02  4.5708819E-02  1.3946956E+00  3.3935921E+00  3.9400813E+00  3.0557950E+01  1.3967678E+00  1.0014857E+00  1.1597492E-09  
6.4527094E+02  4.5289758E-02  1.3947869E+00  3.3927453E+00  3.9393079E+00  3.0842717E+01  1.3968592E+00  1.0014857E+00  1.0178486E-09  
6.5726009E+02  4.4874539E-02  1.3948718E+00  3.3919579E+00  3.9385890E+00  3.1129995E+01  1.3969442E+00  1.0014857E+00  8.9110239E-10  
6.6946778E+02  4.4463127E-02  1.3949506E+00  3.3912265E+00  3.9379213E+00  3.1419813E+01  1.3970231E+00  1.0014857E+00  7.7848019E-10  
6.8189827E+02  4.4055486E-02  1.3950237E+00  3.3905476E+00  3.9373020E+00  3.1712199E+01  1.3970964E+00  1.0014857E+00  6.7907120E-10  
6.9455584E+02  4.3651583E-02  1.3950915E+00  3.3899182E+00  3.9367279E+00  3.2007185E+01  1.3971643E+00  1.0014857E+00  5.9077453E-10  
7.0744488E+02  4.3251383E-02  1.3951543E+00  3.3893351E+00  3.9361963E+00  3.2304797E+01  1.3972272E+00  1.0014857E+00  5.1315273E-10  
7.2056986E+02  4.2854852E-02  1.3952124E+00  3.3887956E+00  3.9357045E+00  3.2605068E+01  1.3972854E+00  1.0014857E+00  4.4489783E-10  
7.3393531E+02  4.2461956E-02  1.3952661E+00  3.3882968E+00  3.9352501E+00  3.2908025E+01  1.3973391E+00  1.0014857E+00  3.8486883E-10  
7.4754586E+02  4.2072663E-02  1.3953157E+00  3.3878362E+00  3.9348306E+00  3.3213700E+01  1.3973888E+00  1.0014857E+00  3.3230068E-10  
7.6140622E+02  4.1686938E-02  1.3953615E+00  3.3874112E+00  3.9344437E+00  3.3522121E+01  1.3974346E+00  1.0014857E+00  2.8628419E-10  
7.7552118E+02  4.1304750E-02  1.3954036E+00  3.3870195E+00  3.9340872E+00  3.3833320E+01  1.3974768E+00  1.0014857E+00  2.4642393E-10  
7.8989561E+02  4.0926066E-02  1.3954424E+00  3.3866589E+00  3.9337591E+00  3.4147325E+01  1.3975157E+00  1.0014857E+00  2.1178526E-10  
8.0453448E+02  4.0550854E-02  1.3954781E+00  3.3863273E+00  3.9334575E+00  3.4464167E+01  1.3975514E+00  1.0014857E+00  1.8161581E-10  
8.1944285E+02  4.0179081E-02  1.3955108E+00  3.3860226E+00  3.9331805E+00  3.4783877E+01  1.3975842E+00  1.0014857E+00  1.5543794E-10  
8.3462586E+02  3.9810717E-02  1.3955409E+00  3.3857429E+00  3.9329263E+00  3.5106484E+01  1.3976143E+00  1.0014857E+00  1.3302414E-10  
8.5008874E+02  3.9445730E-02  1.3955684E+00  3.3854865E+00  3.9326933E+00  3.5432020E+01  1.3976419E+00  1.0014857E+00  1.1325320E-10  
8.6583682E+02  3.9084090E-02  1.3955937E+00  3.3852517E+00  3.9324801E+00  3.5760515E+01  1.3976672E+00  1.0014857E+00  9.6527599E-11  
8.8187553E+02  3.8725764E-02  1.3956167E+00  3.3850369E+00  3.9322851E+00  3.6091999E+01  1.3976903E+00  1.0014857E+00  8.2264215E-11  
8.9821038E+02  3.8370725E-02  1.3956378E+00  3.3848406E+00  3.9321069E+00  3.6426505E+01  1.3977114E+00  1.0014857E+00  6.9796969E-11  
9.1484700E+02  3.8018940E-02  1.3956571E+00  3.3846615E+00  3.9319444E+00  3.6764061E+01  1.3977306E+00  1.0014857E+00  5.9271652E-11  
9.3179111E+02  3.7670380E-02  1.3956746E+00  3.3844981E+00  3.9317962E+00  3.7104701E+01  1.3977482E+00  1.0014857E+00  5.0195343E-11  
9.4904852E+02  3.7325016E-02  1.3956905E+00  3.3843494E+00  3.9316614E+00  3.7448455E+01  1.3977642E+00  1.0014857E+00  4.2432602E-11  
9.6662517E+02  3.6982818E-02  1.3957051E+00  3.3842141E+00  3.9315387E+00  3.7795354E+01  1.3977787E+00  1.0014857E+00  3.5829463E-11  
9.8452708E+02  3.6643757E-02  1.3957182E+00  3.3840911E+00  3.9314273E+00  3.8145431E+01  1.3977919E+00  1.0014857E+00  3.0220281E-11  
1.0027604E+03  3.6307805E-02  1.3957302E+00  3.3839795E+00  3.9313262E+00  3.8498716E+01  1.3978039E+00  1.0014857E+00  2.5459793E-11  
1.0213314E+03  3.5974934E-02  1.3957410E+00  3.3838784E+00  3.9312346E+00  3.8855242E+01  1.3978147E+00  1.0014857E+00  2.1380834E-11  
1.0402463E+03  3.5645113E-02  1.3957508E+00  3.3837868E+00  3.9311517E+00  3.9215041E+01  1.3978246E+00  1.0014857E+00  1.7971460E-11  
1.0595118E+03  3.5318317E-02  1.3957597E+00  3.3837040E+00  3.9310768E+00  3.9578144E+01  1.3978335E+00  1.0014857E+00  1.5198614E-11  
1.0791344E+03  3.4994517E-02  1.3957677E+00  3.3836292E+00  3.9310091E+00  3.9944586E+01  1.3978415E+00  1.0014857E+00  1.2601805E-11  
1.0991208E+03  3.4673685E-02  1.3957749E+00  3.3835617E+00  3.9309481E+00  4.0314397E+01  1.3978487E+00  1.0014857E+00  1.0667286E-11  
1.1194778E+03  3.4355795E-02  1.3957815E+00  3.3835009E+00  3.9308932E+00  4.0687611E+01  1.3978552E+00  1.0014857E+00  8.9875707E-12  
1.1402124E+03  3.4040819E-02  1.3957873E+00  3.3834462E+00  3.9308437E+00  4.1064261E+01  1.3978611E+00  1.0014857E+00  7.4262414E-12  
1.1613316E+03  3.3728731E-02  1.3957926E+00  3.3833971E+00  3.9307993E+00  4.1444380E+01  1.3978663E+00  1.0014857E+00  6.1499221E-12  
1.1828428E+03  3.3419504E-02  1.3957973E+00  3.3833529E+00  3.9307594E+00  4.1828002E+01  1.3978711E+00  1.0014857E+00  5.0850320E-12  
1.2047531E+03  3.3113112E-02  1.3958015E+00  3.3833134E+00  3.9307237E+00  4.2215159E+01  1.3978753E+00  1.0014857E+00  4.3628930E-12  
1.2270702E+03  3.2809529E-02  1.3958053E+00  3.3832780E+00  3.9306917E+00  4.2605887E+01  1.3978791E+00  1.0014857E+00  3.3584223E-12  
1.2498016E+03  3.2508730E-02  1.3958087E+00  3.3832463E+00  3.9306632E+00  4.3000219E+01  1.3978825E+00  1.0014857E+00  2.8893420E-12  
1.2729550E+03  3.2210688E-02  1.3958117E+00  3.3832180E+00  3.9306377E+00  4.3398189E+01  1.3978855E+00  1.0014857E+00  2.4913213E-12  
1.2965384E+03  3.1915379E-02  1.3958144E+00  3.3831928E+00  3.9306149E+00  4.3799831E+01  1.3978882E+00  1.0014857E+00  2.2705540E-12  
1.3205597E+03  3.1622777E-02  1.3958168E+00  3.3831704E+00  3.9305947E+00  4.4205182E+01  1.3978906E+00  1.0014857E+00  2.0669256E-12  
1.3450272E+03  3.1332857E-02  1.3958189E+00  3.3831504E+00  3.9305767E+00  4.4614276E+01  1.3978927E+00  1.0014857E+00  1.6201967E-12  
1.3699492E+03  3.1045596E-02  1.3958208E+00  3.3831327E+00  3.9305607E+00  4.5027148E+01  1.3978946E+00  1.0014857E+00  1.5970703E-12  
1.3953342E+03  3.0760968E-02  1.3958225E+00  3.3831169E+00  3.9305465E+00  4.5443833E+01  1.3978963E+00  1.0014857E+00  1.2264551E-12  
1.4211908E+03  3.0478950E-02  1.3958240E+00  3.3831030E+00  3.9305340E+00  4.5864369E+01  1.3978978E+00  1.0014857E+00  1.8901567E-12  
1.4475278E+03  3.0199517E-02  1.3958253E+00  3.3830907E+00  3.9305229E+00  4.6288790E+01  1.3978991E+00  1.0014857E+00  2.0572207E-12  
1.4743542E+03  2.9922646E-02  1.3958264E+00  3.3830798E+00  3.9305131E+00  4.6717134E+01  1.3979003E+00  1.0014857E+00  0.0000000E+00  
1.5016790E+03  2.9648314E-02  1.3958275E+00  3.3830702E+00  3.9305045E+00  4.7149437E+01  1.3979013E+00  1.0014857E+00  0.0000000E+00  
1.5295117E+03  2.9376497E-02  1.3958284E+00  3.3830618E+00  3.9304969E+00  4.7585736E+01  1.3979022E+00  1.0014857E+00  0.0000000E+00  
1.5578615E+03  2.9107171E-02  1.3958292E+00  3.3830543E+00  3.9304902E+00  4.8026068E+01  1.3979030E+00  1.0014857E+00  0.0000000E+00  
1.5867383E+03  2.8840315E-02  1.3958298E+00  3.3830478E+00  3.9304843E+00  4.8470472E+01  1.3979037E+00  1.0014857E+00  0.0000000E+00  
1.6161517E+03  2.8575905E-02  1.3958305E+00  3.3830421E+00  3.9304792E+00  4.8918985E+01  1.3979043E+00  1.0014857E+00  0.0000000E+00  
1.6461119E+03  2.8313920E-02  1.3958310E+00  3.3830371E+00  3.9304747E+00  4.9371646E+01  1.3979048E+00  1.0014857E+00  0.0000000E+00  
1.6766289E+03  2.8054336E-02  1.3958315E+00  3.3830327E+00  3.9304707E+00  4.9828493E+01  1.3979053E+00  1.0014857E+00  0.0000000E+00  
1.7077131E+03  2.7797133E-02  1.3958319E+00  3.3830289E+00  3.9304673E+00  5.0289565E+01  1.3979057E+00  1.0014857E+00  0.0000000E+00  
1.7393751E+03  2.7542287E-02  1.3958322E+00  3.3830256E+00  3.9304643E+00  5.0754901E+01  1.3979061E+00  1.0014857E+00  0.0000000E+00  
1.7716256E+03  2.7289778E-02  1.3958325E+00  3.3830227E+00  3.9304617E+00  5.1224542E+01  1.3979064E+00  1.0014857E+00  0.0000000E+00  
1.8044756E+03  2.7039584E-02  1.3958328E+00  3.3830202E+00  3.9304595E+00  5.1698526E+01  1.3979066E+00  1.0014857E+00  0.0000000E+00  
1.8379363E+03  2.6791683E-02  1.3958330E+00  3.3830180E+00  3.9304575E+00  5.2176896E+01  1.3979069E+00  1.0014857E+00  0.0000000E+00  
1.8720190E+03  2.6546056E-02  1.3958332E+00  3.3830161E+00  3.9304558E+00  5.2659690E+01  1.3979071E+00  1.0014857E+00  0.0000000E+00  
1.9067353E+03  2.6302680E-02  1.3958334E+00  3.3830145E+00  3.9304544E+00  5.3146951E+01  1.3979072E+00  1.0014857E+00  0.0000000E+00  
1.9420969E+03  2.6061535E-02  1.3958335E+00  3.3830130E+00  3.9304531E+00  5.3638719E+01  1.3979074E+00  1.0014857E+00  0.0000000E+00  
1.9781159E+03  2.5822602E-02  1.3958337E+00  3.3830118E+00  3.9304520E+00  5.4135037E+01  1.3979075E+00  1.0014857E+00  0.0000000E+00  
2.0148046E+03  2.5585859E-02  1.3958338E+00  3.3830108E+00  3.9304511E+00  5.4635947E+01  1.3979076E+00  1.0014857E+00  0.0000000E+00  
2.0521752E+03  2.5351286E-02  1.3958339E+00  3.3830099E+00  3.9304503E+00  5.5141491E+01  1.3979077E+00  1.0014857E+00  0.0000000E+00  
2.0902406E+03  2.5118864E-02  1.3958340E+00  3.3830091E+00  3.9304496E+00  5.5651712E+01  1.3979078E+00  1.0014857E+00  0.0000000E+00  
2.1290137E+03  2.4888573E-02  1.3958340E+00  3.3830085E+00  3.9304490E+00  5.6166654E+01  1.3979079E+00  1.0014857E+00  0.0000000E+00  
2.1685075E+03  2.4660393E-02  1.3958341E+00  3.3830079E+00  3.9304485E+00  5.6686360E+01  1.3979079E+00  1.0014857E+00  0.0000000E+00  
2.2087356E+03  2.4434306E-02  1.3958341E+00  3.3830074E+00  3.9304481E+00  5.7210874E+01  1.3979080E+00  1.0014857E+00  0.0000000E+00  
2.2497116E+03  2.4210290E-02  1.3958342E+00  3.3830070E+00  3.9304477E+00  5.7740242E+01  1.3979080E+00  1.0014857E+00  0.0000000E+00  
2.2914493E+03  2.3988329E-02  1.3958342E+00  3.3830067E+00  3.9304474E+00  5.8274507E+01  1.3979081E+00  1.0014857E+00  0.0000000E+00  
2.3339630E+03  2.3768403E-02  1.3958342E+00  3.3830064E+00  3.9304471E+00  5.8813716E+01  1.3979081E+00  1.0014857E+00  0.0000000E+00  
2.3772671E+03  2.3550493E-02  1.3958343E+00  3.3830061E+00  3.9304469E+00  5.9357914E+01  1.3979081E+00  1.0014857E+00  0.0000000E+00  
2.4213762E+03  2.3334581E-02  1.3958343E+00  3.3830059E+00  3.9304467E+00  5.9907147E+01  1.3979081E+00  1.0014857E+00  0.0000000E+00  
2.4663054E+03  2.3120648E-02  1.3958343E+00  3.3830057E+00  3.9304466E+00  6.0461461E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.5120699E+03  2.2908677E-02  1.3958343E+00  3.3830056E+00  3.9304464E+00  6.1020905E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.5586851E+03  2.2698649E-02  1.3958343E+00  3.3830055E+00  3.9304463E+00  6.1585525E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.6061671E+03  2.2490546E-02  1.3958344E+00  3.3830054E+00  3.9304462E+00  6.2155370E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.6545317E+03  2.2284351E-02  1.3958344E+00  3.3830053E+00  3.9304461E+00  6.2730487E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.7037955E+03  2.2080047E-02  1.3958344E+00  3.3830052E+00  3.9304461E+00  6.3310925E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.7539752E+03  2.1877616E-02  1.3958344E+00  3.3830051E+00  3.9304460E+00  6.3896734E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.8050878E+03  2.1677041E-02  1.3958344E+00  3.3830051E+00  3.9304460E+00  6.4487963E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.8571507E+03  2.1478305E-02  1.3958344E+00  3.3830050E+00  3.9304459E+00  6.5084663E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.9101815E+03  2.1281390E-02  1.3958344E+00  3.3830050E+00  3.9304459E+00  6.5686885E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
2.9641982E+03  2.1086281E-02  1.3958344E+00  3.3830050E+00  3.9304459E+00  6.6294678E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
3.0192191E+03  2.0892961E-02  1.3958344E+00  3.3830050E+00  3.9304458E+00  6.6908095E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
3.0752629E+03  2.0701413E-02  1.3958344E+00  3.3830049E+00  3.9304458E+00  6.7527188E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
3.1323487E+03  2.0511622E-02  1.3958344E+00  3.3830049E+00  3.9304458E+00  6.8152010E+01  1.3979082E+00  1.0014857E+00  0.0000000E+00  
3.1904958E+03  2.0323570E-02  1.3958344E+00  3.3830049E+00  3.9304458E+00  6.8782613E+01  1.3979083E+00  1.0014857E+00  0.0000000E+00  
3.2497239E+03  2.0137242E-02  1.3958344E+00  3.3830049E+00  3.9304458E+00  6.9419050E+01  1.3979083E+00  1.0014857E+00  0.0000000E+00  
3.3100532E+03  1.9952623E-02  1.3958344E+00  3.3830049E+00  3.9304458E+00  7.0061377E+01  1.3979083E+00  1.0014857E+00  0.0000000E+00  
